DBA	LOCATION
THE CRAFTY CHAMELEON BREW	1384 CLARKSON CLAYTON CTR
JERSEY MIKES #25030	15005 MANCHESTER RD
ROCKWOOD SCHOOL DISTRICT	17146 MANCHESTER ROAD
WILDWOOD PUB AND GRILL	17253 NEW COLLEGE AVE
BARTOLINOS TWIN OAKS	1304 BIG BEND ROAD
WING SNOB TWIN OAKS	1410 BIG BEND ROAD
TUCKERS PLACE WEST	14282 MANCHESTER RD
UNCLE BILLS PANCAKE W	14196 MANCHESTER ROAD
STL KOLACHE COTTLEVILLE	4506 MID RIVERS MALL DR
HARRIS HOUSE FOUNDATION	2706 S RIVER RD
HAM N EGG ST PETERS	3640 HARVESTER RD
CECIL WHITTAKERS WELDON S	1017 WOLFRUM RD
MANNINO MARKET	5205 HIGHWAY N
DELMAR GARDENS OFALLON	7068 SOUTH OUTER 364 ROAD
GARDEN VILLAS OFALLON MO	7092 S OUTER 364
PARK PLACE AT WINGHAVEN	2002 BOARDWALK PLACE DR
THE VERO OF O FALLON	1000 LANDING CIR
LIONS CHOICE MIDRIVRS #15	6274 MID RIVERS MALL DR
RACK HOUSE	5065 N HIGHWAY N
URBAN AIR COTTLEVILLE	5993 MID RIVERS MALL DR
JPS HIDEOUT PUB AND GRILL	3915 MID RIVERS MALL DR
STS JOACHIM AND ANN CARE	4116 MCCLAY RD
HOLA ST PETERS	1287 JUNGERMANN RD
WASABI CLAYTON	7726 FORSYTH BLVD
PASTARIA  #102	7734 FORSYTH BLVD
FLIGHT CLUB STL	7710 FORSYTH BLVD
LE MERIDIEN CLAYTON STL	7730 BONHOMME AVE
MAXS BANQUET KITCHEN	7750 CARONDELET
FIVE IRON FR GOLF CLAYTON	8015 FORSYTH BLVD
RESIDENCE INN CLAYTON	8125 FORSYTH BLVD
THE CROSSING	7823 FORSYTH BLVD
SAINT LOUIS CLUB	7676 FORSYTH BLVD
QDOBA #3239 WASHINGTON UN	6475 FORSYTH BLVD
MI RANCHITO	887 KINGSLAND AVE
SUGARFIRE WASHINGTON	512 W FRONT ST
BIG BOY'S	919 JEFFERSON ST
CAFE MOSAIC	901 PATIENTS FIRST DR
LIONS CHOICE WASH #1002	531 STEWART CIRCLE DR
THE ALLEY	7 W MAIN ST
TIN MILL RESTAURANT	315 E 1ST ST
TIN MILL BREWERY	114 GUTENBERG ST
ECI CARDINAL NATION	601 CLARK AVE
SALT AND SMOKE BPV	501 CLARK AVE
LOEWS LIVE ST LOUIS	799 CLARK AVE
WESTIN HOTEL ST LOUIS	811 SPRUCE ST
DRURY PLAZA HOTEL #103	2 S 4TH ST
HODAK'S RESTAURANT AND BA	2100 GRAVOIS AVE
MOMENTUM FOX PARK	2617 SHENANDOAH AVE
CHAVAS	925 GEYER AVE
HI POINTE LASALLE PARK	1220 S 8TH ST
GATEWAY RIVERBOAT CRUISES	50 SLK SULLIVAN BPAPF1419
HILTON PENNYWELL ST LOUIS	400 OLIVE ST
FACTORY DINER PARK HILLS	239 W MAIN ST
QDOBA #2855 KARSCH BLVD	708 W KARSCH BLVD
SUGARFIRE FARMINGTON	670 WALTON DR
SUPER 8  #8044	930 VALLEY CREEK DRIVE
PASTA HOUSE FARMINGTON	931 VALLEY CREEK DR
CROWN POINTE LODGE	4245 HUNT RD
BRIGHT HORIZONS #0364	1340 AIR PARK DR
CLARKS MOUNTAIN NURSING	2100 BARNES
SWEET SPOT FLORISSANT	2575 N HIGHWAY 67
QDOBA #2205 HALLS FERRY	14039 NEW HALLS FERRY RD
DELMAR GARDENS NORTH	4401 N. PARKER RD.
GARDEN VILLA NORTH	4505 PARKER ROAD
ABELARDOS FLORISSANT	13101 NEW HALLS FERRY RD
MGM ST SOPHIA	936 CHARBONIER RD
MGM BENTWOOD NURS & REHAB	1501 CHARBONIER RD
THE RICE HOUSE	8438 N LINDBERGH BLVD
AUGUSTINE INSTITUTE	16805 NEW HALLS FERRY RD
THE RICE HOUSE II	2725 N HIGHWAY 67
LC FAIRWINDS RIVERS EDGE	600 RIVERS EDGE DR
LIONS CHOICE ST PETRS #04	3807 VETERANS MEM PKWY
TWISTED TAVERN WEST	3975 VETERANS MEMORIAL PK
PASTA HOUSE CO ST.PETERS	4095 VETERANS MEMORIAL PK
ABELARDOS SAINT PETERS	4199 VETERANS MEMORIAL PK
FSC 650 LTHRN SCHL ST CHL	5100 MEXICO RD
GULF SHORES ST PETERS	5256 N SERVICE RD
EL MEZON	140 SALT LICK  RD
CARSHIELD CAFE	503 PEARL DR
FSC 115 ST DOMINIC HIGH	31 SAINT DOMINIC DR
FIRST BAPT CHRSTN ACDM	8750 VETERANS MEMORIAL PK
MR GOLDEN	8600 VETERANS MEMORIAL PK
DRURY INN #84	170 MID RIVERS MALL CIR
SAMIS SOUTHERN KITCHEN	4245 VETERANS MEMORIAL PK
CECIL WHITTAKERS JUNGERMA	620 JUNGERMANN RD
AMERICAN KOLACHE EDWARDSV	6189 BENNETT DRIVE
PEEL PIZZA- EDWARDSVILLE	32 SOUTH STATE ROUTE 157
AD 101641 EDWARDSVILLE	312 GREAT PLACE DR
3 OAKS - MERIDIAN VLG KIT	27 AUERBACH PL
3 OAKS - MERIDIAN MC	241 MAGNOLIA DR
3 OAKS - MERIDIAN VIL	101 EVERGREEN LN
DRURY INN #51	602 N BLUFF RD
AGAVERO GRILL AND CANTINA	604 N BLUFF RD
MCDILLS IRISH PUB	267 ST LOUIS RD
PRESSHOUSE AT OLD HERALD	113 E CLAY ST
BARREL AND BRU TAP HOUSE	6151 TRACE PARKWAY DRIVE
OAXACA MARGARITA BAR	6185 BENNETT DRIVE
STL KOLACHE SOUTHWEST	5936 SOUTHWEST AVE
CHRIS PANCAKE AND DINING	5980 SOUTHWEST AVE
DIMARES SPECIALTY	2363 59TH STREET
ST AMBROSE SCHOOL	5110 WILSON AVE
055 ST LOUIS SCIENCE CTR	5050 OAKLAND AVE
FORDOS PIZZA 2	4465 MANCHESTER AVE
UNION LOAFERS	1629 TOWER GROVE AVE
SOMO MO SCHOOL FOR BLIND	3815 MAGNOLIA AVE
MOMENTUM ACADEMY TOWER GR	2900 S GRAND BLVD
MOMENTUM ACADEMY TGS	3716 MORGANFORD RD
SOMO STL FOR TRTMT CTR SO	5300 ARSENAL ST
STEVES HOT DOGS	3145 S GRAND BLVD
PASTA HOUSE GRAVOIS	9012 GRAVOIS
KENRICK'S MEAT MARKET	4324 WEBER ROAD
SALT AND SMOKE SOUTH COUN	4130 RUSTY RD
CRUSOES REST & CROCS BAR	5591 OAKVILLE CENTER
QDOBA #3162 FESTUS	1300 A VETERANS BLVD
CRISPY EDGES EATS AND SHA	700 COLLINS DR
TAYTROS BAR AND BISTRO	331 N CREEK DR
KRABBY DADDYS SEAFOOD EAT	102 PINE ST
TWISTED TAVERN	3606 W OUTER RD
THATSA NICEA PIZZA ARNOLD	2000 RICHARDSON RD
TEQUILA'S	5496 BAUMGARTNER RD STE 1
DRURY INN & SUITES #151	3800 STATE ROUTE 141
PEAR TREE INN #39	1201 DRURY LN
EDS DELICATESSEN	222 N MAIN ST
GOLDEN OAK EVILLE	6663 EDWARDSVILLE CROSSIN
LA CASA MEXICANA INC	201 HARVARD DR
LA FONDA                R	2310 TROY RD
LIONS CHOICE EDWARDIL #31	2384 TROY RD
JERSEY MIKES #27087	1990 TROY RD
THE GODDARD SCHOOL	801 S ARBOR VITAE
WASABI EDWARDSVILLE	100 S BUCHANAN ST
NORTHSIDE DAIRY HAVEN EDW	1902 N MAIN ST
WING SNOB	3901 ILLINOIS 159
STARRS PRIMAL MEATS	116 SOUTH PLUM STREET 1
MR FUEL #124500	#4 CORVETTE DRIVE
UNCLE LINNYS RESTAURANT	4112 PONTOON RD
UNCLE LINNYS FOOD & BREWS	3901 PONTOON RD
APPLE TREE FAMILY REST	3717 NAMEOKI ROAD
BUOYS SOUTHERN KITCHEN	3361 FEHLING RD STE 4
FLYING J #64500 PONTN BCH	1310 E CHAIN OF ROCKS RD
TRES CAMINOS PONTOON BEAC	47 CHOUTEAU TRACE PKWY
NO JACKS SOUTH	123 S MAIN ST
NO JACKS	4001 ILLINOIS 159
BUSY BODY MEALS	620 N MAIN ST
FREEBURG CARE CENTER	746 URBANA DR
HAKUNA MATATA KID CARE IN	2 WESTWOOD DR
HEMIS CAFE	201 MINTON DR.
NEXT UP 2 SPARTA	1400 SPARTA CENTRE DR
EX SPARTA SPPIL	1301 N MARKET
HIKO JAPANESE STEAK SUSHI	951 N IL ROUTE 3
CLEAN EATZ ST LOUIS	12456 TESSON FERRY RD
THE LOCAL HOUSE	2236 MICHIGAN AVENUE
SAUCYS CADET	15788 HIGHWAY 21
SOMO MAPAVILLE ST SCHOOL	BAPTIST PARK RD P O 68
THATSA NICEA PIZZA CONCOR	11726 BAPTIST CHURCH RD
FLYING J #64200 ALORTON	140 RACEHORSE DR.
SAWMILL BBQ CAHOKIA	4060 MISSISSIPPI AVE
MI CASA BELLEVILLE	4311 W MAIN ST
STEAKOUT SWANSEA	2013 N 17TH ST
BELLEVILLE #201 EAST	2555 WEST BLVD
AD 1345 FAIRVIEW HEIGHTS	101 FREY LN
JERSEY MIKES #27097	6570 N ILLINOIS ST
TAQUERIA OLVERA	341 MARKET PL
DRURY INN & SUITES #38	12 LUDWIG DR
LA FIESTA	400 S ILLINOIS ST
SPIKES MILLSTADT	4 E WASHINGTON ST
GRAPHITE RESTAURANT	306 S MAIN ST
YUMMY BOWL MONGOLIAN STIR	1214 CENTRAL PARK DR
RAYS SOUL FOOD	1334 CENTRAL PARK DRIVE
PILOT #122500 MASCOUTAH	9810 PERRIN RD
MEXICO ON MAIN	10 S MAIN ST
WKS	13975 PROGRESS DR
PJS DINER	560 N 4TH ST
CALLE 3 TACOS AND MARGARI	541 N 3RD ST
EL ARADO	50 N 4TH ST
GOOD OLE DAYS NEW BADEN	5 E HANOVER ST
LAPETITE #11597-7717	1050 EASTGATE DR
OAXACA OFALLON	1405 N GREEN MOUNT RD 100
LA CASA MEXICANA-OFALLON	1222 CENTRAL PARK DR.
LOS AMIGOS OFALLON	950 TALON DR
VILLA ROSE SENIOR LIVING	401 S MORELAND RD
CASA ROMERO	521 E AIRLINE DRIVE
CARVERS BBQ AND CATERING	2716 GROVELIN ST
BLAZER BITES	5800 GODFREY RD
GODFREY EL MEZCAL	3034 GODFREY RD
GOOD NEWS BREWING  ALTON	300 ALBY ST
POST COMMONS	300 ALBY ST
BOSSANOVA ALTON	112 W 3RD ST
MR PANCHO'S MEXICAN RESTA	EAST ALTON
KADENS KICKIN CHICKEN	113 EASTGATE PLZ # A
MICHOACAN	1822 VAUGHN RD
PRAIRIE INN	8471 PRAIRIETOWN RD
BLACKBIRD BAKERY AND CAFE	123 E MAIN ST
CALDERA BAR AND GRILL	230 E MAIN ST
POOR RICHARDS OF EUREKA	108 HILLTOP VILLAGE CTRDR
GUFFEY'S PIZZA	3562 W OSAGE ST
FSC 430 PURINA FARM EVENT	300 CHECKERBOARD DR
WAYSIDE INC	3302 HIGHWAY 100
MR FUEL #71700 VILLA RDGE	3324 HWY 100
LIONS CHOICE SULLIVAN	721 WEST SPRINGFIELD RD
FLYING J #67300 SULLIVAN	825 NORTH LOOP RD
ALTOS CANTINA	196 EUREKA TOWNE CENTER D
BOCCARDIS PIZZERIA EUREKA	128 S. CENTRAL
LIONS CHOICE EUREKA #07	1737 W 5TH ST
HOLA MEXICAN FOOD	106 S CENTRAL AVE
EXPAT BBQ	3730 FOUNDRY WAY
BOWOOD BY NICHE	4605 OLIVE ST
CHASE BANQUETS	212 N KINGSHIGHWAY BLVD
BRASSERIE #101	4580 LACLEDE
ELEMENT ST LOUIS MIDTOWN	3763 FOREST PARK AVE
RESIDENCE INN STLOUIS DTN	525 S JEFFERSON STY
PEAR TREE INN #64	2211 MARKET ST
STEVES MELTDOWN	3730 FOUNDRY WAY STE 1
FORDOS PIZZA	3700 FOREST PARK AVE # 20
CHICKEN SCRATCH	3700 FOREST PARK AVE
SOMO STL FOR TRTMT CTR NO	5351 DELMAR
SUGARFIRE BOATHOUSE	3408 LOCUST ST
BRIGHT HORIZONS #1277	840 ROSEDALE AVE CAMPUS
SOMO FULTON STATE HOSP	600 E 5TH ST
TACOS AND TEQUILA #100	1205 S BUISNES 54
COLLINS FARMS CAFE WASH U	1 BROOKINGS DR
SNARFS SKINKER	360 N SKINKER BLVD
ARCH CAFE LLC	11 N 4TH ST
LIONS CHOICE OFIL #26	450 REGENCY PARK
JERSEY MIKES #27024A	3284 GREEN MOUNT CROSSING
DRURY INN & SUITES #133	1118 CENTRAL PARK DR
WASABI OFALLON	1124 MERCHANTS WAY
BARTOLINOS OSTERIA	2103 SULPHUR
BETHALTO EAGLES NEST	117 E BETHALTO DR
JJ'S RESTAURANT ST CHARLE	1215 S DUCHESNE DR
BEMOS GRILL	5373 STATE HIGHWAY N
WHISPER CAFE PNTO	1 BROOKINGS DR
HAVANAS CUISINE PNTO	12 SOUTH EUCLID AVENUE
SOUL 2 SOUL PNTO	5917 DELMAR BLVD
SAKATANOYA PNTO	6683 DELMAR BLVD
FRIDAS PNTO	622 N AND SOUTH RD
DIEGO'S CANTINA PNTO	630 NORTH & SOUTH ROAD
IVY CAFE PNTO	14 N MERAMEC AVE
HONEY BEES BISCUITS PNTO	200 N KIRKWOOD RD
SPENCERS GRILL PNTO	223 S KIRKWOOD RD
EL JAROCHO DORSETT PNTO	11978 DORSETT RD
STONE X STEEL PNTO	11750 MISSOURI BOTTOM RD
CELANOS FLO PNTO	123 FLOWER VALLEY SHOPPIN
CHUCK A BURGER PNTO	9025 SAINT CHARLES ROCK R
ABELARDOS ON MANCH PNTO	15354 MANCHESTER RD
BLUE AGAVE PNTO	105 CHESTERFIELD TOWNE
EL NOPAL PNTO	3 STONEGATE CTR
FENTON B&G PNTO	701 RUDDER RD
BORGETTIS PNTO	1667 S OLD HIGHWAY 141
AFFTON PIZZA CO PNTO	9163 REAVIS BARRACKS RD
DUKES PNTO	2001 MENARD ST
BLUES CITY DELI PNTO	2438 MCNAIR AVE
THE STATION PNTO	2232 THURMAN AVE
K9 GARDEN PNTO	4565 MCREE AVE
BARRIO PNTO	740 DE MUN AVE
LOUIE PNTO	706 DEMUN AVE
GO FRESCO	3605 S PROVIDENCE RD
ADDISONS SOUTH	4005 FRONTGATE DR
SOPHIAS	3910 PEACHTREE DR
ADDISONS	709 CHERRY ST
EXECUTIVE CENTER	2200 I 70 DRIVE SOUTHWEST
BROADWAY - DOUBLETREE	1111 E BROADWAY
BIRDIES DELI	1020 E BROADWAY
BITE BY ECLIPSE	2900 TRIMBLE RD STE 105
QDOBA #2542 BELLEVL CRSS	5880 BELLEVILLE CROSSING
QDOBA #2277 GREEN MOUNT	2541 BROADWAY BLUFFS DR
QDOBA #2438 COLLINSVILLE	3606 S PROVIDENCE RD
QDOBA #2310 TROY	4006 FRONTGATE DR
QDOBA #2205 HALLS FERRY	3911 PEACHTREE DR
SUGARFIRE BOATHOUSE	3108 GREEN MEADOWS WAY
SALT AND SMOKE DELMAR	1006 CLUB VILLAGE DR
TACO BUDDHA U CITY	710 CHERRY ST
	2201 I 70 DRIVE SOUTHWEST
QDOBA #1755 PAGE AVE	929 E BROADWAY
THREE KINGS COTTLEVILLE	838 E BROADWAY
QDOBA #2391 HIGHWAY N	2901 TRIMBLE RD STE 105
SUGARFIRE WINGHAVEN	
EL MEZON O FALLON	4050 LINDELL BLVD
QDOBA #2917 HWY K	5881 BELLEVILLE CROSSING
PASTA HOUSE CO ST.PETERS	2542 BROADWAY BLUFFS DR
QDOBA #2689 BASS PRO	3607 S PROVIDENCE RD
SALT AND SMOKE SAINT CHAR	4007 FRONTGATE DR
JJ'S RESTAURANT ST CHARLE	3912 PEACHTREE DR
CHUCKS HOT CHICKEN	3109 GREEN MEADOWS WAY
	1007 CLUB VILLAGE DR
QDOBA #2593 ARNOLD	711 CHERRY ST
QDOBA #2142 GRAVOIS	2202 I 70 DRIVE SOUTHWEST
JOE BOCCARDIS	747 E BROADWAY
PASTA HOUSE GRAVOIS	656 E BROADWAY
SALT AND SMOKE SOUTH COUN	2902 TRIMBLE RD STE 105
QDOBA #2143 MANCHESTER	
PASTA HOUSE CO ELLISVILLE	4051 LINDELL BLVD
NAPOLI BROS PIZZA & PASTA	5882 BELLEVILLE CROSSING
PASTA HOUSE CO KIRKWOOD	2543 BROADWAY BLUFFS DR
	3608 S PROVIDENCE RD
CHUCKS HOT CHICKEN OFALLO	4008 FRONTGATE DR
THE POST SPTTS BR & GR #4	3913 PEACHTREE DR
HOT SHOTS WENTZVILLE	3110 GREEN MEADOWS WAY
BRASS RAIL	1008 CLUB VILLAGE DR
TULLYS TAP	712 CHERRY ST
JPS HIDEOUT PUB AND GRILL	2203 I 70 DRIVE SOUTHWEST
TIMBER CREEK GRILL	565 E BROADWAY
OISHI STEAK AND SUSHI	474 E BROADWAY
	2903 TRIMBLE RD STE 105
PASTA HOUSE CO LADUE	
TACO BUDDHA BOTANICAL HEI	4052 LINDELL BLVD
ECI CARDINAL NATION	5883 BELLEVILLE CROSSING
FOX SPORTS MIDWEST LIVE	2544 BROADWAY BLUFFS DR
ECI SPORTS & SOCIAL STL	3609 S PROVIDENCE RD
MARRIOTT STL GRAND HTL MN	4009 FRONTGATE DR
DRURY INN #57	3914 PEACHTREE DR
CHUCKS HOT CHICKEN KINGSH	3111 GREEN MEADOWS WAY
DRURY INN & SUITES #136	1009 CLUB VILLAGE DR
SASSAFRAS@MOBOT	713 CHERRY ST
URBAN CHESTNUT MID	2204 I 70 DRIVE SOUTHWEST
STEWS	383 E BROADWAY
SIX STAR MARKET	292 E BROADWAY
	2904 TRIMBLE RD STE 105
THE FRISCO BARROOM	
THE ANNEX	4053 LINDELL BLVD
KENRICK'S MEAT MARKET	5884 BELLEVILLE CROSSING
HOT SHOTS S LINDBERGH	2545 BROADWAY BLUFFS DR
QDOBA #3162 FESTUS	3610 S PROVIDENCE RD
PASTA HOUSE FESTUS	4010 FRONTGATE DR
CHUCKS HOT CHICKEN ARNOLD	3915 PEACHTREE DR
OLIVE AND OAK	3112 GREEN MEADOWS WAY
THE MEXICAN STL	1010 CLUB VILLAGE DR
TONAS MEXICAN RESTAURANT	714 CHERRY ST
RITZ CARLTON  ST LOUIS	2205 I 70 DRIVE SOUTHWEST
	201 E BROADWAY
RUSSOS GOURMET EXPRESS	110 E BROADWAY
SUGARFIRE SMOKEHOUSE OLIV	2905 TRIMBLE RD STE 105
SUGARFIRE FLORISSANT	
TONYS DONUTS DORSETT	4054 LINDELL BLVD
PASTA HOUSE CO BALLAS	5885 BELLEVILLE CROSSING
DRURY PLAZA HOTEL #62	2546 BROADWAY BLUFFS DR
EL MAGUEY NATURAL BRIDGE	3611 S PROVIDENCE RD
EL MAGUEY DUNN ROAD	4011 FRONTGATE DR
KOBE WESTPORT 2	3916 PEACHTREE DR
	3113 GREEN MEADOWS WAY
COMPANION LADUE CAFE	1011 CLUB VILLAGE DR
LADUE TACO	715 CHERRY ST
SUGARFIRE VALLEY PARK K	2206 I 70 DRIVE SOUTHWEST
DRURY INN & SUITES #117	19 E BROADWAY
NAPOLI KIRKWOOD	72 E BROADWAY
CHUCKS HOT CHICKEN ROCK H	2906 TRIMBLE RD STE 105
RACQUET CLUB LADUE	
NAPOLI 2	4055 LINDELL BLVD
MULLIGAN'S GRILL	5886 BELLEVILLE CROSSING
PASTA HOUSE HIGH RIDGE FR	2547 BROADWAY BLUFFS DR
	3612 S PROVIDENCE RD
MALLY'S MARKET	4012 FRONTGATE DR
BOOGIES II RESTAURANT N S	3917 PEACHTREE DR
MAMA CAMPISI'S	3114 GREEN MEADOWS WAY
SAMS STEAKHOUSE	1012 CLUB VILLAGE DR
DULANYS GRILLE & PUB	716 CHERRY ST
HOLTIES PUB	2207 I 70 DRIVE SOUTHWEST
BIG BOY'S	163 E BROADWAY
POOR RICHARDS FENTON	254 E BROADWAY
AMIGOS CANTINA	2907 TRIMBLE RD STE 105
TACO BUDDHA KWOOD	
OH LONDON	4056 LINDELL BLVD
	5887 BELLEVILLE CROSSING
STONE X STEEL PNTO	2548 BROADWAY BLUFFS DR
PIERCE CREEK PNTO	3613 S PROVIDENCE RD
ORZO GRILL PNTO	4013 FRONTGATE DR
BALKAN BAKERY PNTO	3918 PEACHTREE DR
EL JAROCHO PNTO	3115 GREEN MEADOWS WAY
FENTON B&G PNTO	1013 CLUB VILLAGE DR
TACOS UNO PNTO	717 CHERRY ST
FIREHOUSE LEMAY PNTO	2208 I 70 DRIVE SOUTHWEST
CATS MEOW INC PNTO	345 E BROADWAY
PRESS PIZZA + PASTA PNTO	436 E BROADWAY
NO ORDINARY RABBIT PNTO	2908 TRIMBLE RD STE 105
LOUIE PNTO	
AMIGO SOLE PNTO	4057 LINDELL BLVD
IVY CAFE PNTO	5888 BELLEVILLE CROSSING
AJ'S EAT & DRINK	PO BOX 555
SUPER 8 MACON	203 E BRIGGS DR
PIONEER REHAB SKILLED	1500 SOUTH KANSAS AVENUE
RASPBERRYS GRAB N GO	323 N MAIN ST
CHINA GARDEN BROOKFIELD	400 W LOCKLING ST
LOS JIMADORES	521 EAST BRIGGS
CHINA GARDEN	511 E. BRIGGS DRIVE
THE BRICK MOBERLY	107 N WILLIAMS ST
CMPS MEADOW RIDGE SL	521 MEADOW RIDGE LN
VALLEY VIEW HLTH AND REHB	1600 E ROLLINS ST
EL VAQUERO-MOBERLY	702 NORTH MORLEY STREET
CHINA GARDEN MOBERLY	1720 CRETE ST STE G
DONS FAMILY RESTAURANT	315 HIGHWAY JJ
LOS AMIGOS MOBERY	1403 S MORLEY ST
THE CLUB AT OLD HAWTHORNE	6221 E HIGHWAY WW
MU HC MISSOURI ORTHOPEDIC	1100 VIRGINIA AVE
CAMPUS BAR AND GRILL	304 S 9TH ST STE 100
CJS IN TIGER COUNTRY	704 E BROADWAY
COLONY POINTE ALF	1510 CHAPEL HILL ROAD
CHINA GARDEN INC	3420 CLARK LN
MY HOUSE NIGHTCLUB & BAR	119 S 7TH ST
EL ESPOLON	2400 S LIMIT   #J
SYCAMORE RESTAURANT INC	800 E BROADWAY
MU GEN MATC FUEL	1107 S PROVIDENCE RD
TACOS4LIFE MO COLUMBIA	511 E GREEN MEADOWS RD
TIGER PLACE LLC	2910 BLUFF CREEK DR
COLUMBIA MANOR HEALTH RHB	2012 E NIFONG BLVD
BILLIARDS ON BROADWAY	514 E BROADWAY
FUJI 2	1000 INTERSTATE 70 DR SW
PREFERRED FAMILY HC JAMI	1101 SOUTH JAMISON
DINER 54 KIRKSVILLE	2700 S BALTIMORE ST
HIGHLAND CREST ALF	2204 S HALLIBURTON
HOLIDAY INN KIRKSVILLE	2523 S FRANKLIN ST
PREFERRED FAMILY HC LAHA	900 E LAHARPE
LA PA LLC	2216 S BALTIMORE ST
TK PRIME	1702 N BALTIMORE ST
KING'S BUFFET	1707 S BALTIMORE ST
MAXWELLS	215 W WASHINGTON ST
MI CASA MEXICAN RESTAURAN	512 S BALTIMORE ST
HEIDELBERG RESTAURANT	410 S 9TH
KAPPA DELTA SORORITY	606 ROLLINS ST
STEVES FAMILY STYLE RESTA	8705 ROUTE C
RIA'S REST & LOUNGE	3550 W EDGEWOOD DRIVE
EL ESPOLON-ROCK HILL	450 ROCK HILL RD
EL FRISON	2421 INDUSTRIAL DR
HIGH RISE BAKERY LLC	118 E HIGH ST
EL ESPOLON WEST ELM	418 W ELM ST
EL JIMADOR/MO BLVD	1410 MISSOURI BLVD
HUMPYS BAR AND GRILL	13211 RAILROAD AVE
